Year,Transportation,Residential,Industrial,Commercial,Other
2020,579.36599,9129.85281,1652.52646,14442.92102,652
2025,1774.9798,9693.04859,1616.36535,14656.29858,770
2030,2452.83853,9915.81278,1605.69373,15485.62082,1195
2035,2964.70014,10709.35027,1593.701,16219.88684,1622
2040,3625.58831,11677.91848,1583.47843,17272.10353,1639
2045,4264.81514,12223.80871,1572.84898,19130.47712,1646
