Year,Vehicles,Power,Buildings
2020,17.77,12.8,4.9
2025,14.15,7.38,4.36
2030,10.94,3.87,3.58
2035,6.93,4.17,2.32
2040,4.43,3.83,1.18
2045,2.71,4.09,0.66
