Year,Nuclear, Coal, Gas - Total,Transmission,Distribution Upgrades,PPA - Wind,PPA - Solar,PPA - Customer Rooftop PV,PPA - Storage,PPA - Geothermal,RE-CT - Capital,RE-CT - Fuel & O&M,H2-CT & Fuel Cells - Capital,H2-CT & Fuel Cells - O&M
2025,2.91,0.33,0.06,0.05,1.54,0.14,0.24,0.32,0.21,0.04,0.15,0.02
2030,5.11,1.22,0.17,0.64,4.25,0.64,0.74,1.08,0.76,0.14,0.59,0.08
2035,6.67,2.33,0.2,2.85,7.17,1.45,1.41,2.04,1.62,0.3,1.32,0.19
2040,7.96,3.44,0.28,6.2,10.26,2.65,2.34,2.98,2.6,0.5,2.31,0.33
2045,9.34,4.21,0.47,10.25,13.41,4.11,3.29,3.94,3.57,0.69,3.54,0.51
