Year,Supply_Chain_OM,Supply_Chain_Construction,Onsite_OM,Onsite_Construction,Induced_OM,Induced_Construction
2030,44,4048,114,4127,36,2202
2035,51,7301,160,4847,64,3138
2040,70,2224,179,2044,94,1190
2045,97,973,207,888,139,529
