Year,Nuclear,Wind,Customer PV,Utility PV,Utility PV + Battery,Hydro,Geothermal,Coal,RE-Combustion Turbine,NG-Steam/Combined Cycle,NG-Combustion Turbine,Pumped Hydro Storage,Battery Storage,H2-Combustion Turbine,Demand Response
2020,0.39,1,0.34,1.19,0.09,0.73,0.23,1.2,0.01,3.07,0.88,1.15,0.16,0,0.05
2025,0.39,2.93,0.69,1.61,2.27,0.73,0.69,0,0.01,3.18,0.88,1.15,0.5,0.05,0.12
2030,0.39,3.81,1.85,1.61,2.81,0.73,1.55,0,0.01,1.8,0.88,1.15,0.94,0.3,0.23
2035,0.39,4.18,2.74,1.61,3.2,0.73,1.55,0,0.01,0,0,1.15,1.24,2.82,0.19
2040,0.39,4.97,3.57,1.61,3.2,0.73,1.55,0,0.01,0,0,1.15,1.64,2.82,0.2
2045,0.26,6.54,3.91,1.61,3.2,0.73,1.52,0,0.23,0,0,1.15,1.9,2.82,0.21
