Year,Vehicles,Power,Buildings
2020,17.77,12.8,4.9
2025,14.15,7.59,4.97
2030,12.29,3.67,4.91
2035,10.51,2.54,4.87
2040,9.83,2.58,4.6
2045,9.31,2.89,3.99
