Year,Nuclear,Wind,Customer PV,Utility PV,Utility PV + Battery,Hydro,Geothermal,Coal,RE-Combustion Turbine,NG-Steam/Combined Cycle,NG-Combustion Turbine,Pumped Hydro Storage,Battery Storage,H2-Combustion Turbine,Demand Response
2020,0.39,1,0.34,1.19,0.09,0.73,0.23,1.2,0.01,3.07,0.88,1.15,0.16,0,0.05
2025,0.39,0.93,0.52,1.19,2.27,0.73,0.36,0,0.66,3.3,0.88,1.15,0.46,0.05,0.12
2030,0.39,1.94,1.12,1.59,2.27,0.73,0.5,0,1.41,1.94,0.88,1.15,0.68,0.17,0.23
2035,0.39,4.3,1.73,1.97,2.27,0.73,0.5,0,1.43,1.82,0.88,1.15,0.85,0.3,0.19
2040,0.39,5.31,2.61,2.13,2.27,0.73,0.5,0,1.57,1.7,0.88,1.15,1.32,0.42,0.2
2045,0.26,6.5,3.14,2.15,2.27,0.73,0.47,0,1.7,1.57,0.88,1.15,1.72,0.54,0.21
