Year,Vehicles,Power,Buildings
2020,17.77,12.8,4.9
2025,14.15,3.01,4.36
2030,10.94,1.63,3.58
2035,6.93,0.95,2.32
2040,4.43,0.76,1.18
2045,2.71,0.85,0.66
