Year,Supply Chain - O&M,Supply Chain - Construction,Onsite - O&M,Onsite - Construction,Induced - O&M,Induced - Construction
2030,706,2856,374,2946,292,1657
2035,639,2723,507,2570,300,1502
2040,700,2454,582,2584,340,1381
2045,811,1785,651,1692,383,961
